"Tipologia","Frecuencia","Household"
"T1",10371,330110820501
"T1",10371,330110850201
"T1",10371,330110860201
"T1",10371,330110870401
"T1",10371,330110890101
"T1",10371,330110890301
"T1",10371,330110910201
"T1",10371,330110910501
"T1",10371,330110960401
"T1",10371,330130010301
"T1",10371,330130010401
"T1",10371,330130010501
"T1",10371,330130011601
"T1",10371,330130021901
"T1",10371,330130030101
"T1",10371,330230010401
"T1",10371,330230021201
"T1",10371,330230022001
"T1",10371,330230030801
"T1",10371,330310020301
"T1",10371,330310030401
"T1",10371,330310050201
"T1",10371,330310070101
"T1",10371,330310080401
"T1",10371,330310090301
"T1",10371,330310090401
"T1",10371,330310100301
"T1",10371,330310110101
"T1",10371,330310110301
"T1",10371,330310120301
"T1",10371,330330010701
"T1",10371,330410020101
